RegionID,SizeRank,RegionName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
61,39,West Virginia,"149,738.55","156,280.28","161,725.46","169,369.12","182,732.83","196,354.67","203,113.88","205,395.48","201,539.97","193,466.74","192,214.59","189,543.73","195,112.77","196,712.83","197,895.29","204,370.40","203,440.27","208,405.11","213,544.21","215,548.11","234,378.30","258,521.62","277,925.16","282,903.98"
18,40,Hawaii,"414,143.68","437,514.82","478,489.18","554,778.96","677,474.46","836,652.50","905,704.92","900,014.42","842,522.40","753,918.98","781,047.14","751,414.17","769,557.20","826,158.09","874,101.58","911,484.11","948,405.26","982,926.30","1,008,297.19","1,006,895.43","1,055,766.68","1,233,535.23","1,367,147.54","1,358,173.63"
39,41,New Hampshire,"249,189.24","286,279.78","319,929.96","356,628.28","391,079.58","421,764.47","417,800.21","401,788.05","370,434.31","348,770.01","342,540.00","328,746.23","330,072.55","342,743.81","350,528.77","366,610.48","377,238.50","399,828.19","420,184.01","435,438.06","485,504.21","566,832.93","635,242.12","667,528.81"
28,42,Maine,"220,233.75","245,809.89","275,081.41","308,806.04","348,181.18","376,176.57","380,112.95","374,824.58","357,921.27","329,408.04","323,954.79","318,689.21","318,001.01","329,423.66","333,393.26","346,931.49","360,635.04","381,017.46","400,764.75","414,537.95","468,202.81","557,725.22","612,401.97","646,519.89"
50,43,Rhode Island,"247,071.64","281,486.94","333,663.94","392,110.90","454,534.70","503,280.05","499,785.65","477,486.31","429,441.21","391,811.43","389,818.89","367,447.98","365,557.22","379,241.29","387,298.25","401,982.00","417,805.89","441,967.63","463,809.67","474,873.78","519,729.39","608,453.26","667,304.39","701,345.76"
35,44,Montana,,,,,,"312,849.06","340,754.85","355,207.68","351,674.34","335,387.83","325,950.25","316,866.89","333,946.70","352,171.78","367,478.30","391,612.56","404,771.82","428,670.20","453,242.98","468,673.67","532,404.08","692,839.23","747,000.27","742,664.88"
13,45,Delaware,"272,578.95","290,522.58","314,317.27","350,279.07","401,335.28","451,942.14","481,130.57","476,986.72","441,705.08","415,831.52","401,872.56","375,229.84","369,467.29","386,290.48","393,193.34","403,256.73","409,675.45","420,847.97","429,197.00","432,935.91","462,287.70","538,104.05","574,705.33","581,043.43"
52,46,South Dakota,"186,238.08","192,181.02","199,362.00","207,900.42","221,300.74","237,496.48","246,213.17","253,602.19","257,415.98","252,482.90","254,216.27","253,159.81","267,905.49","282,960.41","289,689.76","303,774.95","315,114.62","328,260.18","340,343.32","354,757.03","385,242.15","447,384.68","492,838.63","492,197.38"
37,47,North Dakota,,,,,,,,,,"262,919.08","266,156.14","269,887.30","300,336.79","329,329.43","344,173.63","360,072.98","347,394.73","342,818.22","337,481.02","348,022.97","359,102.10","381,558.13","403,165.56","398,871.21"
3,48,Alaska,"207,681.99","255,232.46","267,330.83","285,112.62","306,434.55","334,786.95","358,681.90","370,301.61","370,944.38","366,853.88","368,446.49","362,473.34","382,321.87","392,118.56","399,355.32","414,335.12","414,186.10","417,342.41","420,005.70","446,697.28","455,970.49","489,326.10","506,066.06","505,250.80"
12,49,District of Columbia,"367,862.07","420,378.93","486,430.19","550,272.54","655,197.36","755,006.86","772,524.88","783,714.96","750,630.29","716,297.06","725,281.97","718,290.21","754,559.01","821,723.81","856,159.67","893,843.94","909,802.06","931,643.89","966,391.33","984,489.04","1,035,561.13","1,094,659.53","1,099,628.72","1,096,054.56"
58,50,Vermont,"221,407.71","239,803.96","258,797.59","283,432.78","317,589.56","354,620.42","378,478.34","385,804.65","379,695.57","368,923.96","370,108.57","366,996.58","377,872.72","391,699.13","396,805.90","406,215.35","407,038.35","425,558.23","438,719.97","447,442.92","486,140.54","560,167.24","601,342.65","607,749.50"
62,51,Wyoming,,,"265,119.84","278,056.77","299,031.93","320,765.57","352,948.89","371,180.08","369,215.54","358,132.51","355,506.19","352,895.78","371,813.11","381,037.47","388,147.60","413,388.54","412,423.80","420,844.22","431,656.79","451,179.50","485,761.08","548,387.09","590,118.92","595,259.66"
